name,default_name,is_team
David Dunn,David Dunn,f
Overseer,Overseer,f
Elijah Price,Elijah Price,f
Mr Glass,Elijah Price,f
Mr. Glass,Elijah Price,f
Kevin Wendell Crumb,Kevin Wendell Crumb,f
Kevin Crumb,Kevin Wendell Crumb,f
Flint Marko,Flint Marko,f
The Horde,The Horde,f
Ymir,Ymir,f
Robattalion,Robattalion,f
Lincoln,Lincoln,f
Abraham Lincoln,Abraham Lincoln,f
Christian Wolff,Christian Wolff,f
Adrian Toomes,Adrian Toomes,f
Robin Hood,Robin Hood,f
Vasquez,Vasquez,f
Pikachus?,Pikachu,f
Obi(-| )W(a|o)ns?,Obi-Wan Kenobi,f
Avengers,Avengers,t
General Gr(iev|evi|eiv)ous,General Grievous,f
Eddie Brock,Eddie Brock,f
T(-| )?1000,T-1000,f
Preston( J)?\.? Cole,Preston J. Cole,f
Alien Queen,Xenomorphs,f
Drone,Drone,f
Facehugger,Facehugger,f
Face Hugger,Facehugger,f
Predalien,Predalien,f
Henry Howard,The Amazing Bulk,f
Amazing Bulk,The Amazing Bulk,f
Nancy Archer,Nancy Archer,f
Austin Powers,Austin Powers,f
Austin Danger Powers,Austin Powers,f
"Austin `"Danger`" Powers",Austin Powers,f
Agent Powers,Agent Powers,f
Johnny Storm,Johnny Storm,f
Selina Kyle,Catwoman,f
Matt Brody,Matt Brody,f
Rhedosaurus,The Rhedosaurus,f
Black Dynamite,Black Dynamite,f
Officer K,Officer K,f
KD6-3.7,Officer K,f
K,K,f
Blade,Blade,f
Blair Witch,Blair Witch,f
Bruce Nolan,Bruce Nolan,f
Bruce Almighty,Bruce Nolan,f
Carrie White,Carrie White,f
Carrietta White,Carrie White,f
Carrie,Carrie,f
Russian Blue,Russian Blue,f
Alexandrite,Alexandrite,f
Boomstick,Boomstick,f
Gabe Walker,Gabe Walker,f
Cloverfield Monster,Cloverfield Monster,f
Marion Cobretti,Marion Cobretti,f
John Matrix,John Matrix,f
Bruce Lee,Bruce Lee,f
Balthazar,Balthazar,f
Annabelle,Annabelle,f
Caleb Danvers,Caleb Danvers,f
Chev Chelios,Chev Chelios,f
Prince Jai,Prince Jai,f
I\.S\.A\.A\.C,I.S.A.A.C.,f
ISAAC,I.S.A.A.C.,f
Intuitive Synthetic Autonomous Assault Commando,Intuitive Synthetic Autonomous Assault Commando,f
